// anchors_solstice_equinox.csv

Date,Type,Significance,Source
2005-03-20,solstice_equinox,high,astronomical
2005-06-21,solstice_equinox,high,astronomical
2005-09-22,solstice_equinox,high,astronomical
2005-12-21,solstice_equinox,high,astronomical
2015-03-20,solstice_equinox,high,astronomical
2015-06-21,solstice_equinox,high,astronomical
2015-09-23,solstice_equinox,high,astronomical
2015-12-21,solstice_equinox,high,astronomical
2018-03-20,solstice_equinox,high,astronomical
2018-06-21,solstice_equinox,high,astronomical
2018-09-22,solstice_equinox,high,astronomical
2018-12-21,solstice_equinox,high,astronomical
2022-03-20,solstice_equinox,high,astronomical
2022-06-21,solstice_equinox,high,astronomical
2022-09-22,solstice_equinox,high,astronomical
2022-12-21,solstice_equinox,high,astronomical
2025-03-20,solstice_equinox,high,astronomical
2025-06-20,solstice_equinox,high,astronomical
2025-09-22,solstice_equinox,high,astronomical
2025-12-21,solstice_equinox,high,astronomical
