date,body1,body2,aspect_type,aspect_nature,orb,exact,body1_sign,body2_sign,primary_scoring,bonus_eligible,influence_weight
2004-12-21,Sun,Moon,trine,harmonious,3.22,False,Sagittarius,Taurus,True,,
2004-12-21,Mercury,Venus,conjunction,neutral,4.6,False,Sagittarius,Sagittarius,True,,
2004-12-21,Mars,Saturn,trine,harmonious,1.44,False,Scorpio,Cancer,True,,
2004-12-21,Uranus,Moon,sextile,harmonious,0.35,True,Pisces,Taurus,False,True,90.0
2004-12-22,Mercury,Venus,conjunction,neutral,3.61,False,Sagittarius,Sagittarius,True,,
2004-12-22,Mars,Saturn,trine,harmonious,2.19,False,Scorpio,Cancer,True,,
2004-12-23,Moon,Mars,opposition,harsh,0.8,True,Taurus,Scorpio,True,,
2004-12-23,Moon,Saturn,sextile,harmonious,2.14,False,Taurus,Cancer,True,,
2004-12-23,Mercury,Venus,conjunction,neutral,2.76,False,Sagittarius,Sagittarius,True,,
2004-12-23,Mars,Saturn,trine,harmonious,2.94,False,Scorpio,Cancer,True,,
2004-12-24,Moon,Mercury,opposition,harsh,1.98,False,Gemini,Sagittarius,True,,
2004-12-24,Moon,Venus,opposition,harsh,0.05,True,Gemini,Sagittarius,True,,
2004-12-24,Mercury,Venus,conjunction,neutral,2.03,False,Sagittarius,Sagittarius,True,,
2004-12-24,Mars,Saturn,trine,harmonious,3.7,False,Scorpio,Cancer,True,,
2004-12-24,Uranus,Sun,sextile,harmonious,0.61,True,Pisces,Capricorn,False,True,90.0
2004-12-25,Moon,Jupiter,trine,harmonious,5.12,False,Gemini,Libra,True,,
2004-12-25,Mercury,Venus,conjunction,neutral,1.41,False,Sagittarius,Sagittarius,True,,
2004-12-25,Mars,Saturn,trine,harmonious,4.46,False,Scorpio,Cancer,True,,
2004-12-25,Uranus,Sun,sextile,harmonious,0.38,True,Pisces,Capricorn,False,True,90.0
2004-12-25,Pluto,Moon,opposition,harsh,0.75,True,Sagittarius,Gemini,False,True,95.0
2004-12-26,Sun,Moon,opposition,harsh,1.41,False,Capricorn,Cancer,True,,
2004-12-26,Mercury,Venus,conjunction,neutral,0.88,True,Sagittarius,Sagittarius,True,,
2004-12-26,Mercury,Jupiter,sextile,harmonious,3.62,False,Sagittarius,Libra,True,,
2004-12-26,Mars,Saturn,trine,harmonious,5.22,False,Sagittarius,Cancer,True,,
2004-12-26,Uranus,Moon,trine,harmonious,0.05,True,Pisces,Cancer,False,True,90.0
2004-12-26,Neptune,Mercury,sextile,harmonious,0.56,True,Aquarius,Sagittarius,False,True,85.0
2004-12-27,Moon,Jupiter,square,harsh,1.3,False,Cancer,Libra,True,,
2004-12-27,Mercury,Venus,conjunction,neutral,0.45,True,Sagittarius,Sagittarius,True,,
2004-12-27,Mercury,Jupiter,sextile,harmonious,2.92,False,Sagittarius,Libra,True,,
2004-12-27,Venus,Jupiter,sextile,harmonious,3.36,False,Sagittarius,Libra,True,,
2004-12-27,Mars,Saturn,trine,harmonious,5.98,False,Sagittarius,Cancer,True,,
2004-12-27,Neptune,Mercury,sextile,harmonious,0.22,True,Aquarius,Sagittarius,False,True,85.0
2004-12-27,Neptune,Venus,sextile,harmonious,0.23,True,Aquarius,Sagittarius,False,True,85.0
2004-12-28,Moon,Mars,trine,harmonious,4.53,False,Cancer,Sagittarius,True,,
2004-12-28,Moon,Saturn,conjunction,neutral,2.21,False,Cancer,Cancer,True,,
2004-12-28,Mercury,Venus,conjunction,neutral,0.08,True,Sagittarius,Sagittarius,True,,
