date,body,sign,from_sign,ruler,element
2004-12-22,Sun,Capricorn,Sagittarius,Saturn,earth
2004-12-24,Moon,Gemini,Taurus,Mercury,air
2004-12-26,Moon,Cancer,Gemini,Moon,water
2004-12-26,Mars,Sagittarius,Scorpio,Jupiter,fire
2004-12-29,Moon,Leo,Cancer,Sun,fire
2004-12-31,Moon,Virgo,Leo,Mercury,earth
2005-01-03,Moon,Libra,Virgo,Venus,air
2005-01-05,Moon,Scorpio,Libra,Mars,water
2005-01-07,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-01-09,Moon,Capricorn,Sagittarius,Saturn,earth
2005-01-10,Mercury,Capricorn,Sagittarius,Saturn,earth
2005-01-10,Venus,Capricorn,Sagittarius,Saturn,earth
2005-01-11,Moon,Aquarius,Capricorn,Saturn,air
2005-01-13,Moon,Pisces,Aquarius,Jupiter,water
2005-01-15,Moon,Aries,Pisces,Mars,fire
2005-01-18,Moon,Taurus,Aries,Venus,earth
2005-01-20,Sun,Aquarius,Capricorn,Saturn,air
2005-01-20,Moon,Gemini,Taurus,Mercury,air
2005-01-22,Moon,Cancer,Gemini,Moon,water
2005-01-25,Moon,Leo,Cancer,Sun,fire
2005-01-27,Moon,Virgo,Leo,Mercury,earth
2005-01-30,Moon,Libra,Virgo,Venus,air
2005-01-30,Mercury,Aquarius,Capricorn,Saturn,air
2005-02-01,Moon,Scorpio,Libra,Mars,water
2005-02-03,Venus,Aquarius,Capricorn,Saturn,air
2005-02-04,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-02-06,Moon,Capricorn,Sagittarius,Saturn,earth
2005-02-07,Mars,Capricorn,Sagittarius,Saturn,earth
2005-02-08,Moon,Aquarius,Capricorn,Saturn,air
2005-02-10,Moon,Pisces,Aquarius,Jupiter,water
2005-02-12,Moon,Aries,Pisces,Mars,fire
2005-02-14,Moon,Taurus,Aries,Venus,earth
2005-02-16,Moon,Gemini,Taurus,Mercury,air
2005-02-17,Mercury,Pisces,Aquarius,Jupiter,water
2005-02-19,Sun,Pisces,Aquarius,Jupiter,water
2005-02-19,Moon,Cancer,Gemini,Moon,water
2005-02-21,Moon,Leo,Cancer,Sun,fire
2005-02-24,Moon,Virgo,Leo,Mercury,earth
2005-02-26,Moon,Libra,Virgo,Venus,air
2005-02-27,Venus,Pisces,Aquarius,Jupiter,water
2005-03-01,Moon,Scorpio,Libra,Mars,water
2005-03-03,Moon,Sagittarius,Scorpio,Jupiter,fire
2005-03-05,Moon,Capricorn,Sagittarius,Saturn,earth
2005-03-05,Mercury,Aries,Pisces,Mars,fire
2005-03-07,Moon,Aquarius,Capricorn,Saturn,air
2005-03-09,Moon,Pisces,Aquarius,Jupiter,water
2005-03-11,Moon,Aries,Pisces,Mars,fire
