date,body,status,sign,stationary,primary_scoring,bonus_eligible,influence_weight
2005-02-02,Jupiter,starts,Libra,True,True,,
2005-03-20,Mercury,starts,Aries,False,True,,
2005-03-22,Saturn,ends,Cancer,True,True,,
2005-03-27,Pluto,starts,Sagittarius,True,False,True,95.0
2005-04-12,Mercury,ends,Aries,False,True,,
2005-05-20,Neptune,starts,Aquarius,True,False,True,85.0
2005-06-05,Jupiter,ends,Libra,True,True,,
2005-06-15,Uranus,starts,Pisces,True,False,True,90.0
2005-07-23,Mercury,starts,Leo,False,True,,
2005-08-16,Mercury,ends,Leo,False,True,,
2005-09-02,Pluto,ends,Sagittarius,True,False,True,95.0
2005-10-02,Mars,starts,Taurus,True,True,,
2005-10-27,Neptune,ends,Aquarius,True,False,True,85.0
2005-11-14,Mercury,starts,Sagittarius,False,True,,
2005-11-16,Uranus,ends,Pisces,True,False,True,90.0
2005-11-22,Saturn,starts,Leo,True,True,,
2005-12-04,Mercury,ends,Scorpio,False,True,,
2005-12-10,Mars,ends,Taurus,True,True,,
2005-12-24,Venus,starts,Aquarius,True,True,,
2006-02-03,Venus,ends,Capricorn,True,True,,
2006-03-03,Mercury,starts,Pisces,False,True,,
2006-03-05,Jupiter,starts,Scorpio,True,True,,
2006-03-26,Mercury,ends,Pisces,False,True,,
2006-03-30,Pluto,starts,Sagittarius,True,False,True,95.0
2006-04-06,Saturn,ends,Leo,True,True,,
2006-05-23,Neptune,starts,Aquarius,True,False,True,85.0
2006-06-19,Uranus,starts,Pisces,True,False,True,90.0
2006-07-05,Mercury,starts,Leo,False,True,,
2006-07-06,Jupiter,ends,Scorpio,True,True,,
2006-07-29,Mercury,ends,Cancer,False,True,,
2006-09-05,Pluto,ends,Sagittarius,True,False,True,95.0
2006-10-29,Mercury,starts,Scorpio,False,True,,
2006-10-29,Neptune,ends,Aquarius,True,False,True,85.0
2006-11-18,Mercury,ends,Scorpio,False,True,,
2006-11-20,Uranus,ends,Pisces,True,False,True,90.0
2006-12-06,Saturn,starts,Leo,True,True,,
2007-02-14,Mercury,starts,Pisces,False,True,,
2007-03-08,Mercury,ends,Aquarius,False,True,,
2007-04-01,Pluto,starts,Sagittarius,True,False,True,95.0
2007-04-06,Jupiter,starts,Sagittarius,True,True,,
2007-04-20,Saturn,ends,Leo,True,True,,
2007-05-25,Neptune,starts,Aquarius,True,False,True,85.0
2007-06-16,Mercury,starts,Cancer,False,True,,
2007-06-24,Uranus,starts,Pisces,True,False,True,90.0
2007-07-10,Mercury,ends,Cancer,False,True,,
2007-07-28,Venus,starts,Virgo,False,True,,
2007-08-07,Jupiter,ends,Sagittarius,True,True,,
2007-09-08,Pluto,ends,Sagittarius,True,False,True,95.0
2007-09-09,Venus,ends,Leo,False,True,,
2007-10-12,Mercury,starts,Scorpio,False,True,,
2007-11-01,Neptune,ends,Aquarius,True,False,True,85.0
2007-11-02,Mercury,ends,Libra,False,True,,
2007-11-15,Mars,starts,Cancer,True,True,,
2007-11-24,Uranus,ends,Pisces,True,False,True,90.0
2007-12-20,Saturn,starts,Virgo,True,True,,
2008-01-29,Mercury,starts,Aquarius,False,True,,
2008-01-31,Mars,ends,Gemini,True,True,,
2008-02-19,Mercury,ends,Aquarius,False,True,,
2008-04-02,Pluto,starts,Capricorn,True,False,True,95.0
2008-05-03,Saturn,ends,Virgo,True,True,,
2008-05-10,Jupiter,starts,Capricorn,True,True,,
2008-05-27,Mercury,starts,Gemini,False,True,,
2008-05-27,Neptune,starts,Aquarius,True,False,True,85.0
2008-06-20,Mercury,ends,Gemini,False,True,,
2008-06-27,Uranus,starts,Pisces,True,False,True,90.0
2008-09-08,Jupiter,ends,Capricorn,True,True,,
2008-09-09,Pluto,ends,Sagittarius,True,False,True,95.0
2008-09-24,Mercury,starts,Libra,False,True,,
2008-10-16,Mercury,ends,Libra,False,True,,
2008-11-02,Neptune,ends,Aquarius,True,False,True,85.0
2008-11-28,Uranus,ends,Pisces,True,False,True,90.0
2009-01-01,Saturn,starts,Virgo,True,True,,
2009-01-12,Mercury,starts,Aquarius,False,True,,
2009-02-01,Mercury,ends,Capricorn,False,True,,
2009-03-07,Venus,starts,Aries,False,True,,
2009-04-05,Pluto,starts,Capricorn,True,False,True,95.0
2009-04-18,Venus,ends,Pisces,False,True,,
2009-05-07,Mercury,starts,Gemini,False,True,,
2009-05-17,Saturn,ends,Virgo,True,True,,
2009-05-29,Neptune,starts,Aquarius,True,False,True,85.0
2009-05-31,Mercury,ends,Taurus,False,True,,
2009-06-15,Jupiter,starts,Aquarius,True,True,,
2009-07-01,Uranus,starts,Pisces,True,False,True,90.0
2009-09-07,Mercury,starts,Libra,False,True,,
2009-09-12,Pluto,ends,Capricorn,True,False,True,95.0
2009-09-30,Mercury,ends,Virgo,False,True,,
2009-10-13,Jupiter,ends,Aquarius,True,True,,
2009-11-05,Neptune,ends,Aquarius,True,False,True,85.0
2009-12-02,Uranus,ends,Pisces,True,False,True,90.0
2009-12-21,Mars,starts,Leo,False,True,,
2009-12-27,Mercury,starts,Capricorn,False,True,,
2010-01-14,Saturn,starts,Libra,True,True,,
2010-01-16,Mercury,ends,Capricorn,False,True,,
2010-03-11,Mars,ends,Leo,True,True,,
2010-04-07,Pluto,starts,Capricorn,True,False,True,95.0
2010-04-18,Mercury,starts,Taurus,False,True,,
2010-05-12,Mercury,ends,Taurus,False,True,,
2010-05-31,Saturn,ends,Virgo,True,True,,
2010-06-01,Neptune,starts,Aquarius,True,False,True,85.0
2010-07-06,Uranus,starts,Aries,True,False,True,90.0
2010-07-24,Jupiter,starts,Aries,True,True,,
2010-08-21,Mercury,starts,Virgo,False,True,,
2010-09-13,Mercury,ends,Virgo,False,True,,
2010-09-14,Pluto,ends,Capricorn,True,False,True,95.0
2010-10-08,Venus,starts,Scorpio,True,True,,
2010-11-07,Neptune,ends,Aquarius,True,False,True,85.0
2010-11-19,Venus,ends,Libra,False,True,,
2010-11-19,Jupiter,ends,Pisces,True,True,,
2010-12-06,Uranus,ends,Pisces,True,False,True,90.0
2010-12-11,Mercury,starts,Capricorn,False,True,,
2010-12-30,Mercury,ends,Sagittarius,False,True,,
2011-01-26,Saturn,starts,Libra,True,True,,
2011-03-31,Mercury,starts,Aries,False,True,,
2011-04-09,Pluto,starts,Capricorn,True,False,True,95.0
2011-04-23,Mercury,ends,Aries,True,True,,
