// stress_solstice_equinox.csv

Indicator,Date,Value,Unit
VIX,2005-06-21,11.079999923706055,index
VIX,2005-09-22,13.329999923706055,index
VIX,2005-12-21,10.8100004196167,index
VIX,2015-03-20,13.020000457763672,index
VIX,2015-09-23,22.1299991607666,index
VIX,2015-12-21,18.700000762939453,index
VIX,2018-03-20,18.200000762939453,index
VIX,2018-06-21,14.640000343322754,index
VIX,2018-12-21,30.110000610351562,index
VIX,2022-06-21,30.190000534057617,index
VIX,2022-09-22,27.350000381469727,index
VIX,2022-12-21,20.06999969482422,index
VIX,2025-03-20,19.799999237060547,index
VIX,2025-06-20,20.6200008392334,index
VIX,2025-09-22,16.100000381469727,index
TNX,2005-06-21,4.048999786376953,index
TNX,2005-09-22,4.176000118255615,index
TNX,2005-12-21,4.486000061035156,index
TNX,2015-03-20,1.9299999475479126,index
TNX,2015-09-23,2.1440000534057617,index
TNX,2015-12-21,2.197000026702881,index
TNX,2018-03-20,2.878999948501587,index
TNX,2018-06-21,2.8970000743865967,index
TNX,2018-12-21,2.7920000553131104,index
TNX,2022-06-21,3.306999921798706,index
TNX,2022-09-22,3.7079999446868896,index
TNX,2022-12-21,3.684000015258789,index
TNX,2025-03-20,4.232999801635742,index
TNX,2025-06-20,4.375,index
TNX,2025-09-22,4.14300012588501,index
DXY,2005-06-21,88.18000030517578,index
DXY,2005-09-22,88.55999755859375,index
DXY,2005-12-21,90.94000244140625,index
DXY,2015-03-20,97.91000366210938,index
DXY,2015-09-23,96.06999969482422,index
DXY,2015-12-21,98.45999908447266,index
DXY,2018-03-20,90.37000274658203,index
DXY,2018-06-21,94.87000274658203,index
DXY,2018-12-21,96.95999908447266,index
DXY,2022-06-21,104.44000244140625,index
DXY,2022-09-22,111.3499984741211,index
DXY,2022-12-21,104.16000366210938,index
DXY,2025-03-20,103.8499984741211,index
DXY,2025-06-20,98.70999908447266,index
DXY,2025-09-22,97.33000183105469,index
TYX,2005-06-21,4.333000183105469,index
TYX,2005-09-22,4.460999965667725,index
TYX,2005-12-21,4.670000076293945,index
TYX,2015-03-20,2.503999948501587,index
TYX,2015-09-23,2.940999984741211,index
TYX,2015-12-21,2.9260001182556152,index
TYX,2018-03-20,3.109999895095825,index
TYX,2018-06-21,3.0429999828338623,index
TYX,2018-12-21,3.0280001163482666,index
TYX,2022-06-21,3.390000104904175,index
TYX,2022-09-22,3.6389999389648438,index
TYX,2022-12-21,3.743000030517578,index
TYX,2025-03-20,4.557000160217285,index
TYX,2025-06-20,4.888999938964844,index
TYX,2025-09-22,4.761000156402588,index
VVIX,2015-03-20,80.48999786376953,index
VVIX,2015-09-23,105.86000061035156,index
VVIX,2015-12-21,109.44000244140625,index
VVIX,2018-03-20,107.12999725341797,index
VVIX,2018-06-21,107.44999694824219,index
VVIX,2018-12-21,106.61000061035156,index
VVIX,2022-06-21,104.37000274658203,index
VVIX,2022-09-22,89.18000030517578,index
VVIX,2022-12-21,77.63999938964844,index
VVIX,2025-03-20,89.94999694824219,index
VVIX,2025-06-20,108.86000061035156,index
VVIX,2025-09-22,99.75,index
VXN,2005-06-21,13.430000305175781,index
VXN,2005-09-22,15.300000190734863,index
VXN,2005-12-21,13.970000267028809,index
VXN,2015-03-20,13.819999694824219,index
VXN,2015-09-23,23.780000686645508,index
VXN,2015-12-21,20.219999313354492,index
VXN,2018-03-20,22.1299991607666,index
VXN,2018-06-21,18.889999389648438,index
VXN,2018-12-21,33.869998931884766,index
VXN,2022-06-21,36.060001373291016,index
VXN,2022-09-22,32.91999816894531,index
VXN,2022-12-21,25.149999618530273,index
VXN,2025-03-20,23.3799991607666,index
VXN,2025-06-20,22.229999542236328,index
VXN,2025-09-22,19.420000076293945,index
